gb|X90856|+|387-1194|ARO:3002645|APH(3')-IIb [Pseudomonas aeruginosa] 	807	0	807	+	>209758	63536	14257	15064	793	808	255	NM:i:15	AS:f:762.9	dv:f:0.0185644	id:f:0.981436	cg:Z:169=1X120=2X36=1X87=1X17=1X56=1X44=1X41=1X17=1X2=1X2=1D2=1I9=1X156=1X35=
gb|AE004091.2|+|3982020-3984009|ARO:3002985|arnA [Pseudomonas aeruginosa PAO1] 	1989	0	1989	+	>218296	55330	34956	36945	1977	1989	255	NM:i:12	AS:f:1953.72	dv:f:0.00603318	id:f:0.993967	cg:Z:116=1X35=1X62=1X438=1X109=1X167=1X1=1X1=1X1=1X83=1X116=1X21=1X827=
gb|JQ340365|+|0-1434|ARO:3003583|basS [Pseudomonas aeruginosa] 	1434	0	1434	+	>215866	48686	32651	34085	1430	1434	255	NM:i:4	AS:f:1422.24	dv:f:0.0027894	id:f:0.997211	cg:Z:116=1X515=1X399=1X229=1X171=
gb|GQ343019|+|132-1023|ARO:3002999|CblA-1 [mixed culture bacterium AX_gF3SD01_15] 	891	0	891	+	<9155	3088	937	1828	886	891	255	NM:i:5	AS:f:876.3	dv:f:0.00561167	id:f:0.994388	cg:Z:81=1X364=1X112=1X18=1X248=1X63=
gb|AE004091.2|+|3450837-3451509|ARO:3005063|cprR [Pseudomonas aeruginosa PAO1] 	672	0	672	+	>12305	48385	23763	24435	671	672	255	NM:i:1	AS:f:669.06	dv:f:0.0014881	id:f:0.998512	cg:Z:200=1X471=
gb|AE004091.2|+|3451505-3452801|ARO:3005064|cprS [Pseudomonas aeruginosa PAO1] 	1296	0	1296	+	>12305	48385	24431	25727	1289	1296	255	NM:i:7	AS:f:1275.42	dv:f:0.00540123	id:f:0.994599	cg:Z:500=1X209=1X66=1X89=1X271=1X80=1X65=1X9=
gb|HM560971.1|-|119071-119269|ARO:3004468|CrpP [Pseudomonas aeruginosa] 	198	0	198	+	>137055	12681	3092	3290	195	198	255	NM:i:3	AS:f:189.18	dv:f:0.0151515	id:f:0.984848	cg:Z:10=1X8=1X117=1X60=
gb|AE004091.2|+|1221690-1222098|ARO:3000149|fosA [Pseudomonas aeruginosa PAO1] 	408	0	408	+	>213706	47276	25047	25455	404	408	255	NM:i:4	AS:f:396.24	dv:f:0.00980392	id:f:0.990196	cg:Z:5=1X89=1X35=1X62=1X213=
gb|AY306130|+|0-789|ARO:3001796|OXA-50 [Pseudomonas aeruginosa] 	789	0	789	+	<214033	131298	32928	33717	784	789	255	NM:i:5	AS:f:774.3	dv:f:0.00633714	id:f:0.993663	cg:Z:8=1X135=1X7=1X173=1X172=1X289=
gb|FJ666071|+|0-1194|ARO:3002507|PDC-8 [Pseudomonas aeruginosa] 	1194	0	1194	+	<209758	63536	34923	36117	1189	1194	255	NM:i:5	AS:f:1179.3	dv:f:0.0041876	id:f:0.995812	cg:Z:312=1X213=1X139=1X22=1X395=1X108=
gb|NC_002516.2|-|779462-780101|ARO:3002679|Pseudomonas_aeruginosa_catB7 [Pseudomonas aeruginosa PAO1] 	639	0	639	+	<214812	58254	5400	6039	639	639	255	NM:i:0	AS:f:639	dv:f:0	id:f:1	cg:Z:639=
gb|AY628199|+|203-1064|ARO:3000988|TEM-126 [Escherichia coli] 	861	0	861	+	>538992	1346	283	1144	859	861	255	NM:i:2	AS:f:855.12	dv:f:0.00232288	id:f:0.997677	cg:Z:530=1X7=1X322=
gb|NG_050218.1|+|0-1061|ARO:3001044|TEM-181 [Bacteria] Partial	1061	8	1061	+	>538992	1346	191	1244	1048	1053	255	NM:i:5	AS:f:1038.3	dv:f:0.00474834	id:f:0.995252	cg:Z:58=1X50=1X209=1X167=1X148=1X416=
gb|M18896.2|+|206-2126|ARO:3000190|tetO [Campylobacter jejuni] 	1920	0	1920	+	<52595	3796	1466	3386	1916	1920	255	NM:i:4	AS:f:1908.24	dv:f:0.00208333	id:f:0.997917	cg:Z:679=1X203=1X151=1X74=1X809=
gb|Z21523|+|0-1974|ARO:3000191|tetQ [Bacteroides fragilis] 	1974	0	1974	+	<3757	3403	1002	2976	1922	1974	255	NM:i:52	AS:f:1821.12	dv:f:0.0263425	id:f:0.973658	cg:Z:22=1X153=1X38=1X155=1X26=1X2=1X32=1X10=1X12=1X12=1X22=1X37=1X10=1X59=1X66=1X30=1X53=1X20=1X1=1X57=1X17=1X33=1X91=1X29=1X30=1X22=1X42=1X1=1X1=1X1=1X118=1X90=1X34=1X35=1X11=1X9=1X118=1X95=1X40=1X23=2X2=1X30=1X28=1X56=1X17=1X18=1X10=1X8=1X19=1X2=1X68=1X7=
gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW [Butyrivibrio fibrisolvens] 	1920	0	1920	+	<2957	2953	171	2091	1914	1920	255	NM:i:6	AS:f:1902.36	dv:f:0.003125	id:f:0.996875	cg:Z:1127=1X5=1X114=1X85=1X21=1X270=1X292=
